oktmo,name,year,avgemployers
1622000,Кулундинский муниципальный район,2016,3831.0
1623000,Курьинский муниципальный район,2011,2218.0
1623000,Курьинский муниципальный район,2012,2302.0
1623000,Курьинский муниципальный район,2013,2214.0
1623000,Курьинский муниципальный район,2014,1987.0
1623000,Курьинский муниципальный район,2015,1735.0
1623000,Курьинский муниципальный район,2016,1713.0
1624000,Кытмановский муниципальный район,2011,2513.0
1624000,Кытмановский муниципальный район,2012,2438.0
1624000,Кытмановский муниципальный район,2013,2341.0
1624000,Кытмановский муниципальный район,2014,2203.0
1624000,Кытмановский муниципальный район,2015,2159.0
1624000,Кытмановский муниципальный район,2016,1998.0
1625000,Локтевский муниципальный район,2011,4442.0
1625000,Локтевский муниципальный район,2012,3864.0
1625000,Локтевский муниципальный район,2013,3557.0
1625000,Локтевский муниципальный район,2014,3306.0
1625000,Локтевский муниципальный район,2015,3204.0
1625000,Локтевский муниципальный район,2016,3226.0
1626000,Мамонтовский муниципальный район,2011,3909.0
1626000,Мамонтовский муниципальный район,2012,3661.0
1626000,Мамонтовский муниципальный район,2013,3471.0
1626000,Мамонтовский муниципальный район,2014,3277.0
1626000,Мамонтовский муниципальный район,2015,3153.0
1626000,Мамонтовский муниципальный район,2016,2955.0
1627000,Михайловский муниципальный район,2011,3709.0
1627000,Михайловский муниципальный район,2012,3858.0
1627000,Михайловский муниципальный район,2013,3666.0
1627000,Михайловский муниципальный район,2014,3535.0
1627000,Михайловский муниципальный район,2015,3234.0
1627000,Михайловский муниципальный район,2016,3086.0
1628000,Новичихинский муниципальный район,2011,1817.0
1628000,Новичихинский муниципальный район,2012,1877.0
1628000,Новичихинский муниципальный район,2013,1811.0
1628000,Новичихинский муниципальный район,2014,1762.0
1628000,Новичихинский муниципальный район,2015,1666.0
1628000,Новичихинский муниципальный район,2016,1587.0
1629000,Зональный муниципальный район,2011,4732.0
1629000,Зональный муниципальный район,2012,4720.0
1629000,Зональный муниципальный район,2013,4597.0
1629000,Зональный муниципальный район,2014,4355.0
1629000,Зональный муниципальный район,2015,4293.0
1629000,Зональный муниципальный район,2016,4400.0
1630000,Павловский муниципальный район,2011,8244.0
1630000,Павловский муниципальный район,2012,8146.0
1630000,Павловский муниципальный район,2013,7940.0
1630000,Павловский муниципальный район,2014,7872.0
1630000,Павловский муниципальный район,2015,7676.0
1630000,Павловский муниципальный район,2016,7752.0
1631000,Панкрушихинский муниципальный район,2011,2198.0
1631000,Панкрушихинский муниципальный район,2012,2128.0
1631000,Панкрушихинский муниципальный район,2013,2052.0
1631000,Панкрушихинский муниципальный район,2014,1903.0
1631000,Панкрушихинский муниципальный район,2015,1750.0
1631000,Панкрушихинский муниципальный район,2016,1611.0
1632000,Первомайский муниципальный район,2011,6832.0
1632000,Первомайский муниципальный район,2012,6692.0
1632000,Первомайский муниципальный район,2013,6541.0
1632000,Первомайский муниципальный район,2014,6323.0
1632000,Первомайский муниципальный район,2015,6132.0
1632000,Первомайский муниципальный район,2016,5942.0
1633000,Петропавловский муниципальный район,2011,2305.0
1633000,Петропавловский муниципальный район,2012,2343.0
1633000,Петропавловский муниципальный район,2013,2253.0
1633000,Петропавловский муниципальный район,2014,2354.0
1633000,Петропавловский муниципальный район,2015,2310.0
1633000,Петропавловский муниципальный район,2016,2290.0
1634000,Поспелихинский муниципальный район,2011,5648.0
1634000,Поспелихинский муниципальный район,2012,5605.0
1634000,Поспелихинский муниципальный район,2013,5258.0
1634000,Поспелихинский муниципальный район,2014,5238.0
1634000,Поспелихинский муниципальный район,2015,5012.0
1634000,Поспелихинский муниципальный район,2016,4964.0
1635000,Ребрихинский муниципальный район,2011,4232.0
1635000,Ребрихинский муниципальный район,2012,4445.0
1635000,Ребрихинский муниципальный район,2013,4533.0
1635000,Ребрихинский муниципальный район,2014,3993.0
1635000,Ребрихинский муниципальный район,2015,3675.0
1635000,Ребрихинский муниципальный район,2016,3387.0
1636000,Родинский муниципальный район,2011,3703.0
1636000,Родинский муниципальный район,2012,3423.0
1636000,Родинский муниципальный район,2013,3134.0
1636000,Родинский муниципальный район,2014,2920.0
1636000,Родинский муниципальный район,2015,2633.0
1636000,Родинский муниципальный район,2016,2356.0
1637000,Романовский муниципальный район,2011,3041.0
1637000,Романовский муниципальный район,2012,2795.0
1637000,Романовский муниципальный район,2013,2589.0
1637000,Романовский муниципальный район,2014,2492.0
1637000,Романовский муниципальный район,2015,2297.0
1637000,Романовский муниципальный район,2016,2158.0
1638000,Рубцовский муниципальный район,2011,4412.0
1638000,Рубцовский муниципальный район,2012,4132.0
1638000,Рубцовский муниципальный район,2013,4044.0
1638000,Рубцовский муниципальный район,2014,3548.0
1638000,Рубцовский муниципальный район,2015,3116.0
1638000,Рубцовский муниципальный район,2016,3042.0
1639000,Славгородский муниципальный район,2011,1396.0
1640000,Смоленский муниципальный район,2011,4150.0
1640000,Смоленский муниципальный район,2012,3814.0
1640000,Смоленский муниципальный район,2013,3699.0
1640000,Смоленский муниципальный район,2014,3540.0
1640000,Смоленский муниципальный район,2015,3467.0
1640000,Смоленский муниципальный район,2016,3310.0
1641000,Суетский муниципальный район,2011,1083.0
1641000,Суетский муниципальный район,2012,1034.0
1641000,Суетский муниципальный район,2013,938.0
1641000,Суетский муниципальный район,2014,911.0
1641000,Суетский муниципальный район,2015,834.0
1641000,Суетский муниципальный район,2016,787.0
1642000,Советский муниципальный район,2011,3556.0
1642000,Советский муниципальный район,2012,3534.0
1642000,Советский муниципальный район,2013,3420.0
1642000,Советский муниципальный район,2014,3085.0
1642000,Советский муниципальный район,2015,2946.0
1642000,Советский муниципальный район,2016,2867.0
1643000,Солонешенский муниципальный район,2011,1916.0
1643000,Солонешенский муниципальный район,2012,1859.0
1643000,Солонешенский муниципальный район,2013,1760.0
1643000,Солонешенский муниципальный район,2014,1499.0
1643000,Солонешенский муниципальный район,2015,1421.0
1643000,Солонешенский муниципальный район,2016,1327.0
1644000,Солтонский муниципальный район,2011,1321.0
1644000,Солтонский муниципальный район,2012,1273.0
1644000,Солтонский муниципальный район,2013,1152.0
1644000,Солтонский муниципальный район,2014,1085.0
1644000,Солтонский муниципальный район,2015,1089.0
1644000,Солтонский муниципальный район,2016,999.0
1645000,Шелаболихинский муниципальный район,2011,3426.0
1645000,Шелаболихинский муниципальный район,2012,3198.0
1645000,Шелаболихинский муниципальный район,2013,3000.0
1645000,Шелаболихинский муниципальный район,2014,2912.0
1645000,Шелаболихинский муниципальный район,2015,2633.0
1645000,Шелаболихинский муниципальный район,2016,2472.0
1646000,Табунский муниципальный район,2011,2317.0
1646000,Табунский муниципальный район,2012,2194.0
1646000,Табунский муниципальный район,2013,2028.0
1646000,Табунский муниципальный район,2014,1970.0
1646000,Табунский муниципальный район,2015,1860.0
1646000,Табунский муниципальный район,2016,1767.0
1647000,Тальменский муниципальный район,2011,7669.0
1647000,Тальменский муниципальный район,2012,7445.0
1647000,Тальменский муниципальный район,2013,7304.0
1647000,Тальменский муниципальный район,2014,7072.0
1647000,Тальменский муниципальный район,2015,6711.0
1647000,Тальменский муниципальный район,2016,6429.0
1648000,Тогульский муниципальный район,2011,2044.0
1648000,Тогульский муниципальный район,2012,1947.0
1648000,Тогульский муниципальный район,2013,1772.0
1648000,Тогульский муниципальный район,2014,1697.0
1648000,Тогульский муниципальный район,2015,1687.0
1648000,Тогульский муниципальный район,2016,1634.0
1649000,Топчихинский муниципальный район,2011,5080.0
1649000,Топчихинский муниципальный район,2012,4813.0
1649000,Топчихинский муниципальный район,2013,4709.0
1649000,Топчихинский муниципальный район,2014,4586.0
1649000,Топчихинский муниципальный район,2015,4223.0
1649000,Топчихинский муниципальный район,2016,4259.0
1650000,Третьяковский муниципальный район,2011,3005.0
1650000,Третьяковский муниципальный район,2012,3055.0
1650000,Третьяковский муниципальный район,2013,2965.0
1650000,Третьяковский муниципальный район,2014,2782.0
1650000,Третьяковский муниципальный район,2015,2711.0
1650000,Третьяковский муниципальный район,2016,2521.0
1651000,Троицкий муниципальный район,2011,4298.0
1651000,Троицкий муниципальный район,2012,4118.0
1651000,Троицкий муниципальный район,2013,4086.0
1651000,Троицкий муниципальный район,2014,3978.0
1651000,Троицкий муниципальный район,2015,3671.0
1651000,Троицкий муниципальный район,2016,3414.0
1652000,Тюменцевский муниципальный район,2011,3045.0
1652000,Тюменцевский муниципальный район,2012,2932.0
1652000,Тюменцевский муниципальный район,2013,2804.0
1652000,Тюменцевский муниципальный район,2014,2682.0
1652000,Тюменцевский муниципальный район,2015,2485.0
1652000,Тюменцевский муниципальный район,2016,2333.0
1653000,Угловский муниципальный район,2011,2307.0
1653000,Угловский муниципальный район,2012,2123.0
1653000,Угловский муниципальный район,2013,2103.0
1653000,Угловский муниципальный район,2014,1951.0
1653000,Угловский муниципальный район,2015,1898.0
1653000,Угловский муниципальный район,2016,1809.0
1654000,Усть-Калманский муниципальный район,2011,2808.0
1654000,Усть-Калманский муниципальный район,2012,2685.0
1654000,Усть-Калманский муниципальный район,2013,2683.0
1654000,Усть-Калманский муниципальный район,2014,2307.0
1654000,Усть-Калманский муниципальный район,2015,2082.0
1654000,Усть-Калманский муниципальный район,2016,2034.0
1655000,Усть-Пристанский муниципальный район,2011,1831.0
1655000,Усть-Пристанский муниципальный район,2012,1768.0
1655000,Усть-Пристанский муниципальный район,2013,1654.0
1655000,Усть-Пристанский муниципальный район,2014,1553.0
1655000,Усть-Пристанский муниципальный район,2015,1469.0
1655000,Усть-Пристанский муниципальный район,2016,1413.0
1656000,Хабарский муниципальный район,2011,3442.0
1656000,Хабарский муниципальный район,2012,3389.0
1656000,Хабарский муниципальный район,2013,3340.0
1656000,Хабарский муниципальный район,2014,3174.0
1656000,Хабарский муниципальный район,2015,3021.0
1656000,Хабарский муниципальный район,2016,3006.0
1657000,Целинный муниципальный район,2011,2803.0
1657000,Целинный муниципальный район,2012,2727.0
1657000,Целинный муниципальный район,2013,2661.0
1657000,Целинный муниципальный район,2014,2638.0
1657000,Целинный муниципальный район,2015,2554.0
1657000,Целинный муниципальный район,2016,2449.0
1658000,Чарышский муниципальный район,2011,2385.0
1658000,Чарышский муниципальный район,2012,2352.0
1658000,Чарышский муниципальный район,2013,2167.0
1658000,Чарышский муниципальный район,2014,2040.0
1658000,Чарышский муниципальный район,2015,1900.0
1658000,Чарышский муниципальный район,2016,1840.0
1659000,Шипуновский муниципальный район,2011,5156.0
1659000,Шипуновский муниципальный район,2012,4966.0
1659000,Шипуновский муниципальный район,2013,4835.0
1659000,Шипуновский муниципальный район,2014,4804.0
1659000,Шипуновский муниципальный район,2015,4415.0
1659000,Шипуновский муниципальный район,2016,4342.0
1660000,Немецкий национальный муниципальный район,2011,4568.0
1660000,Немецкий национальный муниципальный район,2012,4394.0
1660000,Немецкий национальный муниципальный район,2013,3838.0
1660000,Немецкий национальный муниципальный район,2014,3511.0
1660000,Немецкий национальный муниципальный район,2015,3164.0
1660000,Немецкий национальный муниципальный район,2016,2713.0
1701000,город Барнаул,2011,169761.0
1701000,город Барнаул,2012,170715.0
1701000,город Барнаул,2013,171199.0
1701000,город Барнаул,2014,169790.0
1701000,город Барнаул,2015,167108.0
1701000,город Барнаул,2016,163524.0
1703000,город Алейск,2011,7057.0
1703000,город Алейск,2012,6950.0
1703000,город Алейск,2013,6888.0
1703000,город Алейск,2014,6860.0
1703000,город Алейск,2015,6621.0
1703000,город Алейск,2016,6172.0
1704000,город Белокуриха,2011,6302.0
1704000,город Белокуриха,2012,6307.0
1704000,город Белокуриха,2013,6251.0
1704000,город Белокуриха,2014,6153.0
1704000,город Белокуриха,2015,6099.0
1704000,город Белокуриха,2016,6084.0
1705000,город Бийск,2011,49077.0
1705000,город Бийск,2012,48986.0
1705000,город Бийск,2013,48720.0
1705000,город Бийск,2014,47858.0
1705000,город Бийск,2015,43808.0
1705000,город Бийск,2016,43522.0
1706000,город Заринск,2011,12782.0
1706000,город Заринск,2012,12465.0
1706000,город Заринск,2013,12085.0
1706000,город Заринск,2014,11634.0
1706000,город Заринск,2015,11276.0
1706000,город Заринск,2016,10825.0
1710000,город Камень-на-Оби,2011,8266.0
1710000,город Камень-на-Оби,2012,7863.0
1710000,город Камень-на-Оби,2013,7763.0
1710000,город Камень-на-Оби,2014,7641.0
1710000,город Камень-на-Оби,2015,7667.0
1713000,город Новоалтайск,2011,19435.0
1713000,город Новоалтайск,2012,19683.0
1713000,город Новоалтайск,2013,19919.0
1713000,город Новоалтайск,2014,20108.0
1713000,город Новоалтайск,2015,18721.0
1713000,город Новоалтайск,2016,18133.0
1716000,город Рубцовск,2011,31108.0
1716000,город Рубцовск,2012,30820.0
1716000,город Рубцовск,2013,30427.0
1716000,город Рубцовск,2014,29743.0
1716000,город Рубцовск,2015,28559.0
1716000,город Рубцовск,2016,27685.0
1719000,город Славгород,2011,6576.0
1719000,город Славгород,2012,7667.0
1719000,город Славгород,2013,7404.0
1719000,город Славгород,2014,7164.0
1719000,город Славгород,2015,6907.0
1719000,город Славгород,2016,6543.0
1730000,город Яровое,2011,3747.0
1730000,город Яровое,2012,3221.0
1730000,город Яровое,2013,3000.0
1730000,город Яровое,2014,3023.0
1730000,город Яровое,2015,3066.0
1730000,город Яровое,2016,2846.0
1755000,ЗАТО Сибирский,2016,2063.0
3601000,Абинский муниципальный район,2013,14016.0
3601000,Абинский муниципальный район,2014,14753.0
3601000,Абинский муниципальный район,2015,14928.0
3601000,Абинский муниципальный район,2016,15033.0
3605000,Апшеронский муниципальный район,2013,11629.0
3605000,Апшеронский муниципальный район,2014,11051.0
3605000,Апшеронский муниципальный район,2015,10746.0
3605000,Апшеронский муниципальный район,2016,9958.0
