popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,lat,lon,oil,saldo
0.10199311023622049,0.10697772173182009,0.029931572030633978,0.22849925790957626,0.3218390804597701,0.00017377567140600318,0.4668035592060233,0.5583333333333332,0.35083016257350397,0.008910103342198746,0.371523915461624,0.024506714037399957,0.01236251786764859,0.00951692922003988,0.012243818590506411,0.02789654447325997,0.013656065820561109,0.00444962757984746,0.773878402094881,0.5151768793466664,0.8111859563176158,0.017373414104469083
0.1031003937007874,0.10592686002522067,0.028277518466488422,0.3019644526830878,0.32471264367816094,0.0001796998420221169,0.4524298425735797,0.5067460317460317,0.35610515392597714,0.01886766700777777,0.4093437152391546,0.025839015911218077,0.019627530610702545,0.01620072400165277,0.011344704482348275,0.02642461624728394,0.025619875040505332,0.007410267839673892,0.773878402094881,0.5151768793466664,0.9683608899775463,0.04606240713224369
0.10445374015748032,0.10718789407313997,0.02254497666198396,0.3409488399442377,0.32758620689655177,0.0001796998420221169,0.4496919917864477,0.4896825396825397,0.37167070217917675,0.025989113776247696,0.5506117908787541,0.02724294691803717,0.019745877556403245,0.026086557519970303,0.01190003966679889,0.02955538421999486,0.033580263037472705,0.00640538684313949,0.773878402094881,0.5151768793466664,0.9598897734231475,0.06598849392311502
0.10654527559055119,0.10592686002522067,0.020596365613812482,0.40347053283414597,0.3290229885057471,0.00019747235387045813,0.460643394934976,0.4908730158730159,0.3565375302663438,0.027813220289223704,0.5606229143492769,0.029024124691994727,0.021319404502904968,0.025633277521887054,0.014438714795715986,0.03805985841452302,0.0406201399252834,0.009407898318580006,0.773878402094881,0.5151768793466664,1.0,0.10485007810416429
0.10839074803149606,0.10571668768390079,0.02705397199438075,0.41784070157409786,0.33333333333333337,0.00021721958925750395,0.47843942505133474,0.5083333333333333,0.361034244206157,0.04903163675228999,0.5183537263626251,0.030246595228544688,0.023844216311863804,0.02346009825154806,0.016501388337961127,0.042428915212261394,0.059209958027241064,0.006949782294135362,0.773878402094881,0.5151768793466664,0.9509083486425801,0.0912866232331314
0.11023622047244094,0.10256410256410256,0.03589069651515838,0.22389117794831886,0.33764367816091956,0.00023696682464454977,0.4537987679671458,0.4880952380952381,0.36034244206157034,0.011892646285579846,0.42380422691879865,0.03123985253949153,0.01376241160600797,0.01072933795085994,0.016025386751289172,0.04175136094951053,0.029189080217852336,0.002959617337867933,0.773878402094881,0.5151768793466664,0.4966319657072871,0.08660037337600487
0.11177411417322834,0.10235393022278269,0.030022205102641954,0.20840572780106814,0.3405172413793104,0.00024289099526066352,0.48323066392881586,0.46904761904761905,0.3510895883777239,0.0117779101724479,0.46718576195773076,0.03286822149638034,0.012917001485398864,0.01661569393217544,0.013499933888668518,0.04726525081189692,0.028924384393361157,0.0025133192520292564,0.773878402094881,0.5151768793466664,0.4418248622167789,0.07345601402064998
0.11331200787401574,0.09794031105506515,0.02721257987039471,0.25998390800119503,0.346264367816092,0.0002507898894154818,0.5188227241615332,0.4658730158730159,0.3957108267035628,0.007958527283784263,0.5450500556173525,0.027333677153171736,0.019380717896179216,0.00983407692902562,0.017598836440565913,0.05831639447676456,0.03577930017659509,0.0030519652861544437,0.773878402094881,0.5151768793466664,0.5184731577873035,0.07326551605897817
0.09012057086614174,0.1317780580075662,0.0537227534327276,0.2291715497393881,0.3218390804597701,0.00016192733017377566,0.20191649555099248,0.25753968253968257,0.20927014873746108,0.04639737532690921,0.5539488320355951,0.01646515003915726,0.3296656136955515,0.05226071005704816,0.011146370487901626,0.024532137099600476,0.024694966744156603,0.016995633548097324,0.7912471338349083,0.2947733624715681,0.8111859563176158,-0.001981178801386825
0.09085875984251968,0.13093736864228667,0.031427017718765576,0.2806230968114338,0.33045977011494254,0.00017772511848341231,0.20465434633812457,0.25793650793650796,0.19802836388792805,0.06894659270826342,0.5617352614015573,0.014115714476725306,0.5364769479998993,0.057030284761775074,0.014425492529419541,0.02577042592462793,0.03778206854880921,0.025691282578256723,0.7912471338349083,0.2947733624715681,0.9683608899775463,0.028765192212443325
0.09165846456692914,0.12778478352248843,0.03280917206688721,0.33114543057675566,0.33620689655172414,0.00017772511848341231,0.20944558521560577,0.2555555555555556,0.20062262193012798,0.0808003403448764,0.5984427141268075,0.013953355108589766,0.5848992717321908,0.054716466314934736,0.013632156551632949,0.028947921777528564,0.045875851235525185,0.03175191760650723,0.7912471338349083,0.2947733624715681,0.9598897734231475,0.028574694250771516
0.0922121062992126,0.12442202606137033,0.02970498935061404,0.39478237543644323,0.34339080459770116,0.00015402843601895733,0.19780971937029432,0.26230158730158726,0.20667589069526113,0.09772256797299235,0.5984427141268075,0.014459534315129982,0.631851288866343,0.07025783541631209,0.01289170963903213,0.025606878343963926,0.059924009677199186,0.03811084390848911,0.7912471338349083,0.2947733624715681,1.0,0.005486341296148131
0.09301181102362205,0.12547288776796975,0.024765486926179362,0.40756196520366533,0.3505747126436782,0.00016587677725118485,0.1834360027378508,0.24682539682539684,0.21099965409892768,0.14890750296874727,0.6362625139043382,0.015123297614272344,0.649070993417522,0.0655546673203679,0.014927938648684386,0.032592696432326346,0.08079019902704866,0.04425470778033166,0.7912471338349083,0.2947733624715681,0.9509083486425801,0.02167866803825199
