saldo,foodseats,sportsvenue,servicesnum,museums,parks,theatres,library,cultureorg,musartschool
0.014939605848696759,0.00441764981030092,0.07894736842105263,0.07387862796833773,0.0,0.0,0.0,0.0196078431372549,0.022222222222222223,0.16666666666666666
0.4462809917355372,0.008133672886024635,0.2598684210526316,0.6886543535620053,0.0,0.0,0.0,0.0392156862745098,0.044444444444444446,0.16666666666666666
0.38270820089001906,0.01086222129826932,0.2730263157894737,1.0,0.0,0.0,0.0,0.0392156862745098,0.044444444444444446,0.16666666666666666
0.007628734901462174,0.000623668208513071,0.013157894736842105,0.010554089709762533,0.0,0.0,0.0,0.0,0.0,0.0
0.0019071837253655435,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.0196078431372549,0.022222222222222223,0.0
0.0012714558169103624,0.000623668208513071,0.009868421052631578,0.0079155672823219,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.009868421052631578,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0
0.0,0.0,0.009868421052631578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034965034965034965,0.0009355023127696066,0.02631578947368421,0.0079155672823219,0.0,0.0,0.0,0.0,0.0,0.0
0.10235219326128417,0.010784262772205186,0.5230263157894737,0.16358839050131926,0.02857142857142857,0.0,0.0,0.5294117647058824,0.6222222222222222,0.5
0.06706929434202162,0.03578296346343745,1.0,0.31398416886543534,0.02857142857142857,0.0,0.0,1.0,1.0,0.6666666666666666
0.013350286077558804,0.042539369055662385,0.7828947368421053,0.5989445910290238,0.08571428571428572,0.0,0.0,0.6274509803921569,0.7111111111111111,0.5
0.0540368722186904,0.030871576321397018,0.19407894736842105,0.6596306068601583,0.08571428571428572,0.25,0.029411764705882353,0.13725490196078433,0.1111111111111111,0.16666666666666666
0.006993006993006993,0.040616392079413755,0.20723684210526316,0.6596306068601583,0.08571428571428572,0.25,0.029411764705882353,0.13725490196078433,0.1111111111111111,0.16666666666666666
0.03655435473617292,0.022711917260017672,0.2631578947368421,0.2770448548812665,0.02857142857142857,0.0,0.0,0.0196078431372549,0.4222222222222222,0.5
0.26223776223776224,0.02429707395665506,0.19078947368421054,0.2717678100263852,0.02857142857142857,0.0,0.0,0.0196078431372549,0.4222222222222222,0.5
0.035282898919262555,0.002390728132633439,0.009868421052631578,0.021108179419525065,0.0,0.0,0.0,0.0,0.022222222222222223,0.16666666666666666
0.22155117609663064,0.008107686710669923,0.3355263157894737,0.24802110817941952,0.05714285714285714,0.0,0.0,0.0196078431372549,0.26666666666666666,0.3333333333333333
0.08264462809917356,0.012577308871680267,0.39144736842105265,0.17941952506596306,0.02857142857142857,0.0,0.0,0.0196078431372549,0.26666666666666666,0.3333333333333333
0.04450095359186268,0.003638064549659581,0.09210526315789473,0.079155672823219,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.16666666666666666
0.006357279084551812,0.007328101450028585,0.125,0.0870712401055409,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.16666666666666666
0.09917355371900827,0.022945792838210074,0.18421052631578946,0.32981530343007914,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.003814367450731087,0.028039083207733486,0.18421052631578946,0.34564643799472294,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.041640178003814365,0.020555064705576633,0.19736842105263158,0.36147757255936674,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.0371900826446281,0.017176861909464165,0.21710526315789475,0.36675461741424803,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.0003178639542275906,0.0048334286159763,0.02631578947368421,0.029023746701846966,0.0,0.0,0.0,0.0,0.022222222222222223,0.16666666666666666
0.014621741894469168,0.0048334286159763,0.029605263157894735,0.029023746701846966,0.0,0.0,0.0,0.0,0.022222222222222223,0.16666666666666666
0.09726636999364272,0.040512447377994906,0.27960526315789475,0.36147757255936674,0.02857142857142857,0.0,0.0,0.0392156862745098,0.24444444444444444,0.6666666666666666
0.006039415130324221,0.011511875682137103,0.20065789473684212,0.14511873350923482,0.02857142857142857,0.0,0.0,0.0196078431372549,0.15555555555555556,0.16666666666666666
0.06865861411315957,0.0007276129099319163,0.10526315789473684,0.03430079155672823,0.0,0.0,0.0,0.21568627450980393,0.06666666666666667,0.0
0.22727272727272727,0.007925783483186944,0.003289473684210526,0.0079155672823219,0.0,0.0,0.0,0.0,0.0,0.0
0.5699300699300699,0.04425445662907333,0.05263157894736842,0.43271767810026385,0.05714285714285714,0.0,0.029411764705882353,0.17647058823529413,0.0,0.3333333333333333
0.621106166560712,0.0054570968244893716,0.029605263157894735,0.07651715039577836,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.13159567705022251,0.0054570968244893716,0.029605263157894735,0.07651715039577836,0.02857142857142857,0.0,0.0,0.0196078431372549,0.022222222222222223,0.3333333333333333
0.13000635727908455,0.009718829582662025,0.049342105263157895,0.11609498680738786,0.02857142857142857,0.75,0.0,0.0196078431372549,0.044444444444444446,0.3333333333333333
0.039097266369993645,0.006288654435840133,0.05592105263157895,0.08443271767810026,0.02857142857142857,0.25,0.0,0.21568627450980393,0.022222222222222223,0.3333333333333333
0.10775588048315321,0.020788940283769035,0.16776315789473684,0.18469656992084432,0.02857142857142857,0.25,0.029411764705882353,0.09803921568627451,0.044444444444444446,0.3333333333333333
