saldo,foodseats,sportsvenue,servicesnum,library,cultureorg,musartschool
0.05527123848515865,0.23157435673789795,0.384375,0.20051413881748073,1.0,1.0,0.4
0.05783009211873081,0.23157435673789795,0.384375,0.20565552699228792,1.0,1.0,0.4
0.05834186284544524,0.24574792847797644,0.4375,0.1953727506426735,0.85,1.0,0.4
0.1120777891504606,0.3491059747056258,0.4375,0.19794344473007713,0.85,0.95,0.4
0.0383828045035824,0.059092891408634975,0.253125,0.18251928020565553,0.1,0.15,0.4
0.041453428863868984,0.04012211077191452,0.190625,0.06426735218508997,0.1,0.55,0.2
0.0040941658137154556,0.029219363279546447,0.046875,0.061696658097686374,0.05,0.05,0.2
0.019959058341862845,0.02398604448320977,0.021875,0.02056555269922879,0.05,0.1,0.2
0.016888433981576252,0.09398168338421282,0.075,0.12853470437017994,0.05,0.1,0.2
0.01842374616171955,0.028565198430004362,0.13125,0.13110539845758354,0.05,0.05,0.2
0.009211873080859774,0.015045791539467945,0.046875,0.07712082262210797,0.05,0.05,0.2
0.031218014329580348,0.015045791539467945,0.046875,0.08226221079691516,0.05,0.05,0.2
0.0511770726714432,0.015045791539467945,0.046875,0.10282776349614396,0.05,0.05,0.2
0.06448311156601842,0.015045791539467945,0.046875,0.12853470437017994,0.05,0.05,0.2
0.015353121801432957,0.07195813344962931,0.109375,0.2467866323907455,0.05,0.05,0.4
0.017400204708290685,0.10183166157871784,0.10625,0.15167095115681234,0.05,0.05,0.4
0.037871033776867964,0.02573048408198866,0.159375,0.05912596401028278,0.1,0.05,0.2
0.05424769703172978,0.03619712167466201,0.159375,0.05912596401028278,0.1,0.05,0.2
0.03326509723643808,0.01962494548626254,0.0375,0.05912596401028278,0.1,0.05,0.2
0.02712384851586489,0.01962494548626254,0.0375,0.056555269922879174,0.1,0.05,0.2
0.026100307062436028,0.01962494548626254,0.0375,0.056555269922879174,0.1,0.05,0.2
0.04196519959058342,0.16593981683384212,0.10625,0.14910025706940874,0.05,0.1,0.2
0.01330603889457523,0.1768425643262102,0.10625,0.12853470437017994,0.05,0.1,0.2
0.005629477993858751,0.11426079372001745,0.2,0.15681233933161953,0.05,0.15,0.2
0.030194472876151485,0.11687745311818579,0.2,0.16709511568123395,0.05,0.15,0.2
0.011258955987717503,0.12385521151330135,0.2,0.20051413881748073,0.05,0.1,0.2
0.07215967246673491,0.08983863933711295,0.084375,0.2442159383033419,0.2,0.15,0.2
0.04196519959058342,0.09376362843436546,0.084375,0.10796915167095116,0.05,0.05,0.2
0.06960081883316274,0.0963802878325338,0.084375,0.12339331619537275,0.05,0.05,0.2
0.035312180143295804,0.10335804622764937,0.084375,0.15424164524421594,0.05,0.05,0.2
0.13817809621289662,0.06061927605756651,0.215625,0.05398457583547558,0.7,0.65,0.8
0.038894575230296824,0.06279982555604012,0.215625,0.06426735218508997,0.7,0.7,0.6
0.059877175025588536,0.0623637156563454,0.215625,0.056555269922879174,0.2,0.7,0.6
0.01586489252814739,0.08940252943741823,0.215625,0.09768637532133675,0.2,0.7,0.6
0.06448311156601842,0.09441779328390755,0.215625,0.11825192802056556,0.2,0.7,0.2
0.0465711361310133,0.0896205843872656,0.20625,0.14395886889460155,0.05,0.05,0.2
0.011258955987717503,0.021805494984736152,0.01875,0.012853470437017995,0.05,0.05,0.2
0.0035823950870010235,0.021805494984736152,0.01875,0.010282776349614395,0.05,0.05,0.2
0.04708290685772774,0.11469690361971217,0.1,0.3264781491002571,0.2,0.15,0.2
0.038894575230296824,0.07675534234627127,0.1,0.38303341902313626,0.2,0.15,0.2
0.0255885363357216,0.013083296990841693,0.040625,0.06683804627249357,0.1,0.05,0.2
0.03172978505629478,0.05931094635848234,0.103125,0.043701799485861184,0.05,0.05,0.2
0.016888433981576252,0.005233318796336677,0.025,0.056555269922879174,0.1,0.05,0.2
0.011770726714431934,0.005233318796336677,0.025,0.056555269922879174,0.05,0.05,0.2
0.006653019447287615,0.005233318796336677,0.025,0.030848329048843187,0.05,0.05,0.2
0.007164790174002047,0.0776275621456607,0.1875,0.26735218508997427,0.1,0.05,0.2
0.0496417604912999,0.07849978194505015,0.203125,0.2442159383033419,0.05,0.05,0.2
0.031218014329580348,0.08983863933711295,0.20625,0.2210796915167095,0.05,0.05,0.2
0.03326509723643808,0.06955952900130832,0.078125,0.16966580976863754,0.05,0.05,0.2
0.01023541453428864,0.05364151766245094,0.0625,0.17994858611825193,0.05,0.05,0.2
0.021494370522006142,0.02529437418229394,0.125,0.08226221079691516,0.05,0.5,0.4
0.0030706243602865915,0.01744439598778892,0.025,0.07712082262210797,0.05,0.1,0.2
0.026100307062436028,0.020933275185346708,0.025,0.06426735218508997,0.05,0.1,0.2
0.03172978505629478,0.01439162668992586,0.025,0.06940874035989718,0.05,0.1,0.2
0.17041965199590584,0.23549934583515045,0.3875,0.2750642673521851,0.05,0.1,1.0
0.08853633572159672,0.23026602703881377,0.1125,0.23136246786632392,0.05,0.05,0.2
0.028147389969293755,0.04884430876580898,0.040625,0.11568123393316196,0.1,0.1,0.2
0.06601842374616172,0.04884430876580898,0.040625,0.11568123393316196,0.1,0.1,0.2
0.03224155578300921,0.0776275621456607,0.215625,0.11568123393316196,0.05,0.05,0.2
0.09160696008188332,0.07043174880069777,0.1125,0.13367609254498714,0.1,0.05,0.2
0.05680655066530194,0.0776275621456607,0.05625,0.11053984575835475,0.05,0.05,0.2
0.018935516888433982,0.02442215438290449,0.04375,0.19023136246786632,0.05,0.05,0.2
0.021494370522006142,0.023549934583515047,0.04375,0.20822622107969152,0.05,0.05,0.2
0.040429887410440124,0.023549934583515047,0.04375,0.2416452442159383,0.05,0.05,0.2
0.1218014329580348,0.0481901439162669,0.29375,0.1953727506426735,0.05,0.05,0.2
0.04452405322415558,0.06585259485390318,0.29375,0.11825192802056556,0.05,0.05,0.2
0.009723643807574206,0.06541648495420846,0.29375,0.2262210796915167,0.05,0.05,0.2
0.2640736949846469,0.04164849542084605,0.05625,0.18508997429305912,0.05,0.05,0.2
0.14022517911975435,0.05931094635848234,0.05625,0.10796915167095116,0.05,0.05,0.2
0.07318321392016376,0.06541648495420846,0.05625,0.2210796915167095,0.05,0.05,0.2
0.263050153531218,0.19777583951155692,0.221875,0.390745501285347,0.45,0.1,0.6
0.6663254861821903,0.5196249454862626,0.221875,0.6041131105398457,0.05,0.1,0.6
0.38843398157625386,0.4361098996947231,0.225,0.6272493573264781,0.05,0.1,0.6
0.27840327533265097,0.4188835586567815,0.153125,0.6375321336760925,0.05,0.1,0.6
0.044012282497441144,0.11033580462276493,0.275,0.3341902313624679,0.05,0.1,0.2
0.01330603889457523,0.2804186655037069,0.275,0.2982005141388175,0.05,0.1,0.2
0.10644831115660185,0.2738770170082861,0.228125,0.2879177377892031,0.05,0.05,0.2
0.04759467758444217,0.2821631051024858,0.228125,0.29048843187660667,0.05,0.05,0.2
0.2047082906857728,0.3728739642389882,0.284375,0.6863753213367609,0.05,0.05,0.4
0.27686796315250767,0.3728739642389882,0.290625,0.6606683804627249,0.05,0.05,0.4
0.06448311156601842,0.05887483645878761,0.11875,0.16452442159383032,0.05,0.05,0.2
0.08393039918116683,0.05887483645878761,0.13125,0.15424164524421594,0.05,0.05,0.2
0.04708290685772774,0.11993022241604885,0.08125,0.17223650385604114,0.35,0.25,0.2
0.07113613101330604,0.141735717400785,0.084375,0.17994858611825193,0.05,0.05,0.2
0.048106448311156604,0.141735717400785,0.090625,0.16452442159383032,0.05,0.05,0.2
0.10030706243602866,0.1264718709114697,0.153125,0.442159383033419,0.1,0.1,0.4
0.1745138178096213,0.0793720017444396,0.084375,0.11311053984575835,0.05,0.15,0.4
0.059877175025588536,0.0793720017444396,0.084375,0.11311053984575835,0.05,0.15,0.4
0.07471852610030706,0.07806367204535543,0.184375,0.33676092544987146,0.25,0.25,0.2
0.10849539406345957,0.07806367204535543,0.184375,0.32904884318766064,0.25,0.25,0.2
0.05578300921187308,0.07544701264718709,0.184375,0.3341902313624679,0.25,0.25,0.2
0.014841351074718526,0.07806367204535543,0.075,0.2544987146529563,0.1,0.1,0.2
0.04503582395087001,0.07806367204535543,0.075,0.2570694087403599,0.1,0.1,0.2
0.012282497441146366,0.07544701264718709,0.075,0.2622107969151671,0.1,0.1,0.2
0.038894575230296824,0.005451373746184038,0.040625,0.028277634961439587,0.1,0.1,0.2
0.016376663254861822,0.015263846489315308,0.040625,0.030848329048843187,0.1,0.1,0.2
0.01586489252814739,0.015263846489315308,0.040625,0.030848329048843187,0.1,0.1,0.2
0.03326509723643808,0.5346707370257305,0.675,0.7840616966580977,0.95,0.85,0.8
0.028659160696008188,0.2228521587440035,0.25,0.5629820051413882,0.1,0.2,0.4
0.14636642784032752,0.35804622764936767,0.253125,0.5989717223650386,0.1,0.2,0.4
0.02098259979529171,0.01439162668992586,0.034375,0.010282776349614395,0.05,0.05,0.2
0.05015353121801433,0.0510248582642826,0.06875,0.08483290488431877,0.1,0.05,0.2
0.09160696008188332,0.0510248582642826,0.071875,0.08483290488431877,0.1,0.05,0.2
0.05271238485158649,0.06149149585695595,0.071875,0.06940874035989718,0.1,0.05,0.2
0.27840327533265097,0.206279982555604,0.209375,0.38817480719794345,0.25,0.1,0.2
0.372057318321392,0.19777583951155692,0.209375,0.37789203084832906,0.25,0.05,0.2
0.2052200614124872,0.2788922808547754,0.2125,0.37532133676092544,0.25,0.05,0.2
0.11105424769703173,0.13126907980811164,0.084375,0.06426735218508997,0.15,0.05,0.2
0.0931422722620266,0.13301351940689055,0.084375,0.06683804627249357,0.15,0.05,0.2
0.07471852610030706,0.18621892716964675,0.084375,0.05398457583547558,0.15,0.05,0.2
0.16427840327533266,0.23462712603576102,0.13125,0.3033419023136247,0.15,0.05,0.2
0.18679631525076765,0.21870911469690363,0.13125,0.33161953727506427,0.15,0.05,0.2
0.20777891504605936,0.24509376362843435,0.134375,0.35475578406169667,0.1,0.05,0.2
0.06908904810644831,0.04797208896641954,0.05,0.06683804627249357,0.1,0.05,0.2
0.09263050153531217,0.028347143480157,0.05,0.06940874035989718,0.1,0.05,0.2
0.05834186284544524,0.03270824247710423,0.05,0.07197943444730077,0.1,0.05,0.2
0.01330603889457523,0.021805494984736152,0.0625,0.038560411311053984,0.05,0.05,0.2
0.006141248720573183,0.021805494984736152,0.0625,0.043701799485861184,0.05,0.05,0.2
0.05373592630501536,0.14129960750109027,0.103125,0.30077120822622105,0.85,0.9,0.4
0.04503582395087001,0.12930658525948538,0.103125,0.3110539845758355,0.85,0.9,0.4
0.05578300921187308,0.14020933275185346,0.10625,0.31876606683804626,0.85,0.9,0.4
0.13357215967246674,0.14020933275185346,0.10625,0.3161953727506427,0.45,0.45,0.4
0.044012282497441144,0.12908853030963802,0.10625,0.3110539845758355,0.45,0.45,0.4
0.006141248720573183,0.14653292629742695,0.10625,0.33676092544987146,0.45,0.45,0.4
