oktmo,name,year,saldo
1611469,Светловский сельсовет,2011,4.0
1611470,Тумановский сельсовет,2011,-22.0
1611478,Харитоновский сельсовет,2011,-16.0
1611486,Чернавский сельсовет,2011,-15.0
1611489,Чистоозёрский сельсовет,2011,4.0
1612000,Залесовский муниципальный район,2011,-141.0
1612409,Большекалтайский сельсовет,2011,-50.0
1612412,Борисовский сельсовет,2011,-29.0
1612422,Думчевский сельсовет,2011,1.0
1612426,Залесовский сельсовет,2011,38.0
1612437,Кордонский сельсовет,2011,-29.0
1612459,Пещерский сельсовет,2011,-21.0
1612470,Тундрихинский сельсовет,2011,-23.0
1612481,Черёмушкинский сельсовет,2011,-43.0
1612492,Шатуновский сельсовет,2011,15.0
1613000,Заринский муниципальный район,2011,-409.0
1613406,Аламбайский сельсовет,2011,-29.0
1613420,Верх-Камышенский сельсовет,2011,-11.0
1613425,Воскресенский сельсовет,2011,-4.0
1613428,Голухинский сельсовет,2011,-20.0
1613430,Гоношихинский сельсовет,2011,-8.0
1613434,Гришинский сельсовет,2011,-24.0
1613436,Жуланихинский сельсовет,2011,-16.0
1613438,Зыряновский сельсовет,2011,-31.0
1613450,Комарский сельсовет,2011,12.0
1613460,Новодраченинский сельсовет,2011,-37.0
1613461,Новозыряновский сельсовет,2011,5.0
1613464,Новокопыловский сельсовет,2011,-21.0
1613468,Новомоношкинский сельсовет,2011,-29.0
1613474,Смазневский сельсовет,2011,16.0
1613478,Сосновский сельсовет,2011,-37.0
1613487,Стародраченинский сельсовет,2011,-41.0
1613488,Тягунский сельсовет,2011,-43.0
1613492,Хмелевский сельсовет,2011,-29.0
1613496,Яновский сельсовет,2011,-27.0
1614000,Змеиногорский муниципальный район,2011,-207.0
1614101,город Змеиногорск,2011,-66.0
1614422,Барановский сельсовет,2011,-34.0
1614433,Карамышевский сельсовет,2011,-64.0
1614444,Кузьминский сельсовет,2011,-3.0
1614450,Никольский сельсовет,2011,-18.0
1614455,Октябрьский сельсовет,2011,-43.0
1614466,Саввушинский сельсовет,2011,-12.0
1614477,Таловский сельсовет,2011,-9.0
1614488,Черепановский сельсовет,2011,42.0
1615000,Калманский муниципальный район,2011,-368.0
1615414,Зимарёвский сельсовет,2011,-40.0
